DATE, DB, G1, G2, G3, G4, G5, G6, G7, KT
12/1/2023,18452,99849, 27621-91955, 09319-34625-29740-28430-97779-44856, 2502-3884-3118-5818, 5434-7882-4474-0383-7694-3970, 122-547-305, 47-29-85-00, 11LX-8LX-15LX-12LX-4LX-10LX
11/1/2023,4942,31511, 96915-35210, 18352-34017-18642-36531-84392-83681, 3310-7880-2041-5685, 8549-1897-3789-6576-0560-7094, 001-655-214, 97-79-12-74, 5LY-8LY-15LY-11LY-6LY-10LY
10/1/2023,81191,88140, 67096-63288, 95651-44209-16651-57329-83066-30657, 6386-5753-7345-3988, 8146-2499-8664-9180-2900-7842, 061-913-843, 44-46-75-18, 9LZ-11LZ-6LZ-3LZ-8LZ-12LZ
9/1/2023,78014,16270, 24159-26757, 49767-38438-02952-13127-61711-61184, 9459-2157-2326-3734, 4225-7765-2017-6211-9689-0717, 747-254-703, 91-86-30-15, 3KA-6KA-14KA-11KA-1KA-8KA
8/1/2023,20040,76965, 00725-96045, 24055-40269-79722-76857-77039-09960, 0127-1158-7977-9924, 8164-3677-6511-3395-2012-1538, 389-582-191, 84-73-61-44, 2KB-3KB-11KB-5KB-4KB-8KB
7/1/2023,39597,20448, 98375-45648, 55850-97079-25197-01795-69588-07835, 1913-8015-5241-3912, 7722-5706-0051-1050-3377-4923, 710-696-135, 95-12-05-93, 4KC-2KC-6KC-9KC-14KC-10KC
6/1/2023,45370,5808, 84879-98182, 24293-04306-89635-00442-69931-82844, 0554-4775-4677-9083, 9984-2064-0832-5681-4616-1573, 187-486-857, 75-66-10-21, 4KD-6KD-14KD-5KD-10KD-1KD-3KD-20KD
5/1/2023,76191,12810, 11458-74967, 71235-86498-02353-79691-79635-03257, 6925-4512-5726-7634, 3778-8441-9916-1111-9597-6530, 165-396-516, 65-61-91-27, 14KE-8KE-13KE-15KE-1KE-9KE
4/1/2023,75757,40631, 56326-49667, 35179-50105-27248-59107-60082-12549, 5039-3831-4690-7943, 7094-3207-6892-7757-1132-8909, 970-784-420, 14-83-79-25, 6KF-10KF-5KF-13KF-14KF-2KF
3/1/2023,25649,31843, 63776-30341, 77026-52031-69174-10420-85248-47765, 7724-9250-4978-1010, 4455-2008-0620-7885-5565-4045, 554-144-596, 42-51-81-72, 14KG-8KG-15KG-5KG-1KG-3KG
2/1/2023,49265,43459, 12407-10068, 35934-71383-25973-92732-33938-09386, 2697-9832-8291-0173, 8813-7077-3452-5042-1616-8189, 194-469-503, 82-16-80-45, 4KH-2KH-6KH-8KH-3KH-5KH
1/1/2023,16705,76828, 65067-99229, 37479-43231-85530-21742-26053-25473, 4250-7737-3949-9814, 2879-2534-0977-9752-0363-5688, 864-443-591, 59-47-96-67, 13KL-1KL-15KL-9KL-8KL-2KL
31/12/2022,55291,42135, 01560-07447, 87947-62209-40405-52973-41073-79983, 1635-5989-0320-2473, 7589-5429-2475-9260-6227-8372, 285-185-279, 62-85-91-30, 1KM-13KM-2KM-8KM-3KM-6KM
30/12/2022,54112,93201, 63854-90768, 63190-82263-11092-62795-14065-54572, 6041-5896-2136-7292, 8660-5968-6810-8331-1726-8758, 827-555-563, 94-82-55-51, 19KN-16KN-20KN-18KN-12KN-1KN-3KN-2KN
29/12/2022,51849,67722, 81733-23595, 91535-09036-15908-46730-86533-86465, 5376-3682-4117-0887, 5554-7106-3447-7066-3961-9041, 675-502-883, 08-31-38-09, 4KP-15KP-5KP-11KP-1KP-6KP
28/12/2022,55145,18766, 30529-57234, 53627-57194-77416-74079-18677-97813, 3192-5315-2058-1403, 3873-0030-1317-1550-2575-3167, 167-160-431, 67-68-96-51, 3KQ-1KQ-15KQ-11KQ-8KQ-12KQ
27/12/2022,97797,97019, 43753-26438, 64682-00587-54529-59186-92346-18732, 1044-5088-6902-1744, 7189-2337-6880-6802-9544-8850, 315-541-564, 30-68-74-60, 2KR-3KR-12KR-1KR-15KR-6KR
26/12/2022,3400,85616, 54319-69470, 94472-23306-67943-97010-90629-53791, 1662-2354-1631-0863, 3393-5667-3553-2023-4912-2568, 626-282-636, 79-36-48-34, 9KS-8KS-7KS-13KS-6KS-5KS
25/12/2022,95636,89842, 35227-93162, 23542-10870-62151-15812-08979-22616, 2113-0846-7111-8523, 7438-7181-2406-9790-6235-1703, 396-458-974, 63-55-93-48, 5KT-2KT-12KT-11KT-6KT-15KT
24/12/2022,9534,70353, 96188-74525, 55133-75105-20012-64488-83117-31939, 1938-1046-3564-9939, 0711-2517-5640-5625-8489-1885, 135-596-390, 82-27-98-93, 12KU-13KU-3KU-7KU-6KU-4KU
23/12/2022,33027,1034, 39440-31211, 01389-13823-24827-51841-10995-09281, 0511-8646-7365-5683, 0906-4002-1629-6322-2180-1096, 776-073-760, 97-75-05-17, 5KV-3KV-9KV-19KV-20KV-17KV-7KV-2KV
22/12/2022,65438,42121, 87418-15982, 44814-18615-19793-53954-63062-30946, 5054-7868-0339-7982, 2297-0115-1781-7410-0374-6716, 328-209-099, 25-12-41-54, 4KX-14KX-10KX-5KX-6KX-12KX
21/12/2022,74562,56264, 52037-84608, 89017-79669-76401-40118-02260-81087, 2437-8919-6234-5445, 4271-1914-3464-2455-0338-1582, 826-312-538, 28-82-39-64, 1KY-2KY-3KY-11KY-13KY-4KY
20/12/2022,40448,23038, 99191-45105, 85345-38356-73752-98329-05815-10799, 0673-8112-2660-1800, 5560-4321-2607-5774-1386-5036, 313-373-203, 34-83-78-28, 15KZ-5KZ-14KZ-8KZ-11KZ-13KZ
19/12/2022,90230,75249, 09098-85227, 24762-98352-73995-42098-25135-80121, 6445-5373-4159-6724, 8220-3618-6696-1199-5309-6770, 767-420-872, 57-28-92-03, 8HA-15HA-9HA-3HA-10HA-2HA
18/12/2022,32505,41658, 88892-35125, 57424-87950-78338-29120-52361-52559, 4080-1548-3942-0562, 7432-0250-2085-3450-8964-5224, 004-259-056, 98-79-69-29, 3HB-9HB-14HB-15HB-12HB-13HB
17/12/2022,71424,66934, 50533-74665, 39908-00797-93691-18733-47971-26018, 1541-0875-2557-1632, 0820-3760-8781-2239-1046-0825, 849-255-247, 29-56-88-14, 6HC-5HC-9HC-8HC-12HC-15HC
16/12/2022,13086,69861, 60578-56199, 41818-40709-24243-78501-37344-06196, 1624-7688-0343-8140, 1534-5765-1319-1639-4683-9921, 522-244-782, 42-95-26-15, 4HD-2HD-12HD-5HD-3HD-1HD
15/12/2022,92059,59893, 20295-16140, 04562-52826-56419-62210-00189-50910, 3126-5032-6404-0459, 8515-3047-7522-5314-7391-4871, 033-016-414, 76-42-71-27, 3HE-5HE-10HE-8HE-11HE-14HE
14/12/2022,48507,74741, 08046-53319, 70544-79425-51418-22887-36137-00075, 5011-5779-9707-0072, 4622-1013-7908-8828-5351-1095, 658-768-364, 24-96-44-56, 11HF-12HF-3HF-8HF-9HF-4HF
13/12/2022,96688,37484, 34089-96210, 45035-53209-70402-84359-40588-25171, 0171-2408-2589-3855, 7051-1307-0660-4270-2761-0998, 856-421-917, 41-91-15-64, 15HG-13HG-3HG-5HG-14HG-11HG
12/12/2022,65180,55187, 82120-04658, 30931-41688-56621-90857-97990-38286, 8623-4328-4588-6036, 8067-4577-8773-1231-6788-0648, 148-600-540, 42-21-58-95, 8HK-7HK-1HK-12HK-11HK-5HK
11/12/2022,20815,72778, 79220-91810, 55493-80570-20785-24213-42782-51900, 0785-8230-4726-7524, 4913-5934-3266-3294-4784-7261, 106-592-572, 54-80-25-36, 2HL-6HL-8HL-13HL-3HL-9HL
10/12/2022,82978,37815, 63592-26828, 20959-96330-26340-27799-16245-92123, 6947-1997-8780-3491, 9146-4478-2860-8792-5199-7256, 672-628-145, 68-74-95-38, 13HM-7HM-5HM-14HM-1HM-2HM
9/12/2022,93971,4009, 43968-95856, 62152-21508-39207-15332-64225-01051, 0643-8137-8453-6224, 4432-5499-8338-5697-8679-7236, 718-097-779, 34-85-82-33, 5HN-2HN-8HN-14HN-12HN-4HN
8/12/2022,38522,78852, 24895-21880, 39485-23576-84647-62012-82227-09364, 1292-5744-5801-5195, 4902-2783-5067-3912-3989-6361, 165-953-792, 89-54-30-94, 17HP-12HP-3HP-13HP-1HP-18HP-15HP-8HP
7/12/2022,85979,67578, 85693-37767, 89918-12526-46158-15673-55054-04465, 4373-1431-3191-0987, 0625-0865-0896-2031-7384-4830, 056-906-867, 17-04-81-79, 4HQ-6HQ-8HQ-12HQ-11HQ-9HQ
6/12/2022,84807,10590, 38307-69793, 36043-76178-78033-76510-11583-97318, 4473-7652-2207-6470, 4564-5870-5993-4683-1527-1686, 447-068-934, 56-01-58-94, 11HR-4HR-12HR-13HR-10HR-15HR
5/12/2022,13454,99442, 86182-23838, 83464-48820-30683-55403-87940-69185, 9528-9318-0371-6934, 9092-0654-5542-1536-7600-1112, 360-056-159, 41-70-91-63, 8HS-14HS-13HS-3HS-15HS-1HS
4/12/2022,5028,94007, 18783-39801, 50296-49926-94188-85957-88720-36286, 7781-9228-6483-6636, 5841-9320-2564-5651-9661-6285, 517-782-277, 21-10-67-39, 11HT-8HT-2HT-12HT-4HT-9HT
3/12/2022,10576,48972, 03009-83557, 87053-92528-52854-59290-49855-59580, 4445-4301-8703-0762, 2533-2480-0463-3518-3588-8849, 394-837-144, 61-55-93-46, 14HU-13HU-8HU-15HU-4HU-7HU
2/12/2022,24523,3015, 99501-75640, 90238-78005-60888-31380-35565-56202, 1177-7621-7733-4261, 2378-8893-3460-6591-5205-9778, 906-371-102, 61-22-44-16, 15HV-12HV-6HV-10HV-1HV-5HV
1/12/2022,52770,72632, 94230-01290, 00944-60752-38682-13546-09037-56528, 7236-6255-7117-5805, 6024-4076-7706-6242-5151-5198, 515-311-771, 40-65-69-32, 3HX-12HX-7HX-11HX-14HX-5HX
30/11/2022,98112,9152, 01989-05593, 25161-95366-48674-94494-04644-96641, 7013-7672-5579-4369, 8490-1279-3981-7199-9982-5959, 036-860-858, 51-35-67-57, 11HY-12HY-2HY-13HY-4HY-9HY
29/11/2022,25380,28733, 75482-90338, 40071-62719-03871-39155-49381-54569, 5221-4873-4295-6204, 3664-7733-5955-6664-8443-9055, 167-970-412, 03-69-77-61, 12HZ-6HZ-14HZ-15HZ-10HZ-7HZ
28/11/2022,65507,90987, 23237-17499, 96896-65083-98122-79833-61991-81641, 3317-8046-3130-6290, 8207-5400-1972-6506-6648-3190, 237-566-975, 00-38-53-46, 11GA-14GA-2GA-5GA-13GA-1GA
27/11/2022,67857,24762, 15441-04864, 08271-66428-62919-75365-85787-21002, 0896-5072-9185-7394, 3832-8408-2046-5486-7182-2401, 695-320-642, 42-55-21-80, 10GB-3GB-6GB-11GB-12GB-15GB
26/11/2022,67896,70731, 69176-18124, 27982-04161-91683-18192-79476-78208, 5183-4837-8723-9821, 9572-8397-0675-4046-1647-9982, 454-824-291, 83-44-66-03, 6GC-11GC-15GC-10GC-3GC-4GC
25/11/2022,36819,77300, 94639-60023, 65992-78939-86794-32055-87711-60182, 2846-6365-7000-8638, 5530-0550-4271-9426-9812-8324, 268-190-185, 96-56-66-83, 2GD-12GD-5GD-6GD-15GD-11GD
24/11/2022,75996,4902, 25318-92214, 52253-61070-38643-84891-18913-13077, 6533-5487-5262-6897, 0336-4573-1078-5865-1877-6361, 858-380-829, 07-87-48-81, 3GE-1GE-11GE-2GE-8GE-18GE-7GE-17GE
23/11/2022,47779,9473, 42006-45431, 31134-17715-99814-97168-20064-33491, 2355-6851-3041-5929, 1848-3824-2063-8535-2813-2684, 378-794-832, 75-68-73-03, 4GF-6GF-14GF-7GF-11GF-8GF
22/11/2022,30529,774, 71339-87590, 94856-44576-54746-62290-56551-40367, 5453-6915-0626-5872, 0190-8930-5221-2743-9398-0212, 212-976-516, 50-13-41-49, 4GH-13GH-5GH-8GH-14GH-10GH
21/11/2022,52091,32734, 23946-43525, 86711-73926-59382-58525-08199-09891, 7508-4247-6600-5785, 7051-9777-2130-6304-7143-3659, 753-767-938, 96-25-69-47, 5GK-11GK-14GK-6GK-12GK-7GK
20/11/2022,80770,74803, 88570-42720, 53876-08026-67336-03704-43408-16903, 2018-8532-3564-2072, 8409-7739-0074-9074-0573-6822, 820-944-037, 52-33-61-24, 3GL-13GL-1GL-12GL-4GL-6GL
19/11/2022,66534,56931, 14753-52934, 50362-71673-07004-46603-14867-67353, 2669-3510-5939-0452, 7103-3066-7100-3883-3329-8520, 876-769-784, 04-50-54-98, 11GM-3GM-13GM-9GM-12GM-6GM
18/11/2022,32592,64258, 75381-94816, 00970-60920-56970-50040-80887-68639, 3223-8450-4979-5322, 9176-3207-7231-1657-8080-5058, 353-184-451, 43-12-84-07, 13GN-6GN-4GN-11GN-14GN-2GN
17/11/2022,5776,49100, 70349-63260, 03748-53195-55751-50581-47510-45326, 7831-5315-1200-5855, 6879-2316-2395-2324-0407-8819, 108-898-166, 97-50-75-99, 9GP-1GP-4GP-2GP-10GP-8GP
16/11/2022,50578,44533, 51589-19352, 36731-00455-82986-67951-88182-08371, 7155-6673-4983-4003, 1039-7182-0280-4445-6725-1225, 031-657-500, 94-53-70-58, 1GQ-6GQ-14GQ-11GQ-10GQ-3GQ
15/11/2022,91006,22362, 00497-25741, 83780-71776-83219-79310-25559-28409, 6094-4114-4358-4970, 2704-2016-1614-0178-3411-3799, 574-202-404, 02-57-50-82, 6GS-5GS-9GS-13GS-3GS-1GS
14/11/2022,12834,95078, 64989-79753, 09206-10621-79349-82053-44176-51792, 6421-8306-4577-6605, 4788-8183-3490-4452-9313-4353, 814-440-471, 56-67-31-42, 2GT-12GT-14GT-7GT-15GT-6GT
13/11/2022,96305,67959, 20646-33331, 93051-86138-60171-34010-77612-40721, 7922-7402-4996-9753, 9028-0798-6142-5181-3005-0430, 913-266-605, 20-21-36-01, 10GU-13GU-1GU-8GU-4GU-5GU
12/11/2022,78611,11566, 68739-54972, 63820-44793-97595-72343-76328-33810, 1422-0776-2262-7727, 1365-6036-4279-6699-2617-9526, 807-235-100, 61-73-32-91, 11GX-7GX-4GX-10GX-5GX-13GX
11/11/2022,81736,23276, 53754-98359, 17284-59613-66887-69623-90479-15921, 1913-9442-8514-1457, 3561-5865-5275-6154-6603-9713, 570-440-936, 08-89-92-12, 15GY-9GY-8GY-10GY-2GY-11GY
10/11/2022,71610,89551, 25825-57592, 04061-27766-63457-55406-80996-71332, 4220-8664-4267-0323, 1489-4707-5990-1175-9767-6607, 536-385-828, 32-64-98-25, 4GZ-1GZ-3GZ-8GZ-2GZ-11GZ
9/11/2022,57765,69270, 33523-02685, 84523-77290-28378-00860-06188-76005, 0445-9065-6142-8859, 8856-4721-1409-3307-7321-9251, 866-778-530, 17-42-90-34, 9FA-13FA-3FA-2FA-11FA-12FA
8/11/2022,66130,31344, 60841-75083, 20089-91989-55661-28892-04894-38296, 9750-1119-3274-6424, 3786-0911-9541-3781-9279-2086, 021-974-097, 41-97-10-96, 18FB-13FB-11FB-4FB-6FB-9FB-20FB-12FB
7/11/2022,4067,62344, 20660-34924, 29262-94654-83140-81635-61321-07328, 5040-9608-2848-8618, 6534-5000-0270-1134-8572-5462, 105-829-074, 41-25-57-17, 3FC-8FC-7FC-4FC-5FC-6FC
6/11/2022,77471,19152, 97536-23750, 96328-05336-86498-22305-92542-92511, 1202-4265-3726-6791, 9261-8406-8891-8795-0587-6651, 733-915-460, 50-36-64-96, 9FD-10FD-11FD-1FD-2FD-12FD
5/11/2022,33487,75857, 17413-62882, 60654-00964-04680-40383-52970-40634, 1478-3136-3882-8583, 0121-9159-0427-7098-1576-4487, 504-833-059, 22-96-21-03, 9FE-7FE-13FE-6FE-14FE-1FE
4/11/2022,75371,81207, 15350-73690, 95923-60377-00576-91314-57428-49409, 4804-6242-8365-5083, 5330-3111-6641-5696-3592-5572, 743-046-548, 48-02-05-42, 2FG-1FG-10FG-12FG-6FG-13FG
3/11/2022,66819,58970, 81233-87337, 67364-85138-96320-49873-10652-89668, 8394-8830-8457-0320, 3125-3132-4645-4147-8339-8043, 111-430-454, 22-57-54-16, 6FH-9FH-2FH-10FH-5FH-4FH
2/11/2022,67246,84000, 91602-49667, 26643-51547-99669-56114-58512-86392, 4034-7999-8026-7738, 8540-0020-8411-9998-1978-2542, 414-858-490, 08-33-36-78, 14FK-6FK-8FK-7FK-12FK-15FK
1/11/2022,99876,35394, 83301-41034, 78478-01506-61824-21864-19460-97709, 2523-8243-8504-6873, 6666-0003-6305-9126-5239-8233, 399-774-666, 79-76-46-50, 4FL-7FL-6FL-14FL-11FL-10FL
31/10/2022,93343,96968, 63142-87662, 64620-94933-91543-43079-18487-83883, 8316-6968-2547-3315, 3809-4301-2221-5368-4658-2400, 204-340-509, 02-31-59-16, 13FM-9FM-6FM-7FM-4FM-10FM
30/10/2022,5085,52112, 34968-38884, 53704-12738-54587-09805-82578-04521, 4991-0172-0087-1576, 2444-2208-4446-9082-9943-0001, 786-779-247, 47-84-18-95, 3FN-2FN-8FN-12FN-15FN-1FN
29/10/2022,73887,76973, 36640-82978, 28521-08794-26945-35334-63608-43213, 3591-9088-7466-0235, 4544-4577-0501-9448-2360-9207, 629-228-382, 52-99-02-47, 7FP-4FP-14FP-5FP-6FP-11FP
28/10/2022,32041,41193, 72370-38138, 42725-18203-90049-56996-58750-01486, 7646-1883-4831-0453, 1211-2649-0096-9803-7958-5730, 766-222-545, 62-12-05-49, 6FQ-13FQ-15FQ-10FQ-5FQ-3FQ
27/10/2022,89604,91323, 51578-25475, 42317-79129-02129-03015-38854-64855, 0405-1015-0053-2692, 7045-0058-5559-3807-9109-1859, 276-593-588, 21-70-40-99, 7FR-1FR-10FR-2FR-4FR-13FR
26/10/2022,19739,15022, 43172-45148, 07740-49662-70500-03869-52571-78536, 8677-3363-6150-4291, 5000-5455-1295-4611-9213-8568, 211-109-329, 98-01-69-70, 12FS-11FS-4FS-10FS-5FS-13FS
25/10/2022,50604,2803, 82308-14716, 18849-52967-20498-02113-21235-00297, 3440-7251-6372-5944, 4127-9161-5584-1258-1074-5102, 054-810-879, 81-78-36-65, 1FT-13FT-17FT-15FT-4FT-11FT-5FT-16FT
24/10/2022,5499,10376, 24301-13680, 38695-41130-50727-16362-08149-79482, 8855-9322-2164-0561, 8869-8529-0030-2126-4951-8249, 161-852-598, 99-51-40-76, 8FU-10FU-11FU-4FU-9FU-1FU
23/10/2022,12843,17105, 39019-07823, 84315-68555-25647-16084-08591-54488, 6546-9861-9809-6677, 5359-4191-5365-8620-2515-4762, 860-513-793, 11-31-91-02, 14FV-7FV-6FV-5FV-9FV-12FV
22/10/2022,31698,10399, 51180-27619, 96231-22899-54741-08898-00597-66057, 0841-6547-3780-4848, 0188-2975-3529-7492-4196-8276, 354-616-141, 44-10-28-67, 13FX-12FX-10FX-1FX-11FX-15FX
21/10/2022,50000,77386, 96071-94717, 33512-47054-17057-15910-69114-85358, 4981-5705-4473-2457, 7949-4076-4318-6437-1640-7878, 709-836-117, 29-30-68-73, 9FY-7FY-14FY-15FY-2FY-4FY
20/10/2022,27465,33685, 53025-07718, 77719-50004-40691-31858-54368-81032, 8755-4276-8212-5294, 3670-4516-1189-0214-4497-1524, 577-678-548, 09-16-75-67, 2FZ-13FZ-3FZ-14FZ-8FZ-6FZ
19/10/2022,68879,46059, 26549-42155, 33720-39460-18432-13620-28920-93358, 8789-3529-4582-6318, 8656-4294-0913-2614-3128-8153, 790-058-472, 80-25-18-98, 13EA-7EA-6EA-12EA-2EA-11EA
18/10/2022,7253,99692, 72624-20724, 50452-80059-29786-83786-32047-53896, 5791-6996-2984-7726, 0054-1956-0329-4338-7272-9689, 859-274-234, 58-92-72-76, 5EB-9EB-15EB-14EB-8EB-4EB
17/10/2022,15677,13447, 41401-55659, 09614-70832-48851-08349-92890-45052, 9807-5291-5713-4749, 3465-7671-0654-6944-4800-3828, 274-626-012, 84-12-41-70, 10EC-8EC-13EC-12EC-7EC-14EC
16/10/2022,35546,43491, 46880-08079, 95676-16955-95218-07214-56949-85631, 8429-8077-0919-9292, 4746-6456-4093-3972-9340-5011, 569-008-014, 99-93-57-98, 7ED-4ED-14ED-9ED-10ED-11ED
15/10/2022,79638,62960, 56791-78023, 41367-91030-88995-83073-74966-09400, 3001-0497-3257-6858, 6376-1915-7724-5888-9196-1252, 714-312-184, 84-20-65-31, 13EF-4EF-3EF-8EF-14EF-5EF
14/10/2022,57974,15324, 29062-35164, 54267-19205-53894-86391-87598-37568, 8724-2642-2107-7220, 7356-1703-9977-2587-4248-0538, 770-996-138, 68-17-39-74, 9EG-2EG-12EG-11EG-6EG-8EG
13/10/2022,65353,92369, 24020-84825, 50821-32359-74870-12430-78783-40433, 1468-2242-7310-2723, 5142-2564-9296-2065-6641-7512, 873-047-216, 96-07-60-69, 8EH-13EH-2EH-9EH-7EH-15EH
12/10/2022,67145,28295, 82580-33620, 73040-79146-86668-63657-04732-22245, 2449-8653-9499-0010, 0031-1635-8745-0326-2604-0686, 971-858-036, 22-81-01-66, 4EK-6EK-8EK-5EK-9EK-15EK
11/10/2022,92034,5536, 18653-32471, 32150-21246-33161-72244-89650-11416, 5592-7323-1688-6043, 9585-5644-4377-4978-8404-9769, 851-567-112, 90-65-31-02, 11EL-2EL-10EL-1EL-9EL-8EL
10/10/2022,71218,70576, 61119-21941, 78697-14684-18932-79736-28498-50030, 8737-5641-6411-2263, 6456-6564-4412-3221-9154-8654, 043-831-025, 17-50-26-75, 17EM-8EM-9EM-20EM-18EM-13EM-5EM-11EM
9/10/2022,96669,56310, 58287-20321, 86171-44020-38870-68078-28970-96499, 0217-7342-3367-2613, 6187-9081-2928-1916-6109-1605, 191-797-551, 35-94-84-96, 1EN-8EN-3EN-6EN-10EN-12EN
8/10/2022,94309,45465, 82813-94520, 95939-36043-04874-02787-78555-90593, 1804-6793-2893-8197, 2179-9142-5758-7134-2092-2071, 965-316-142, 24-33-55-14, 9EP-15EP-6EP-1EP-2EP-5EP
7/10/2022,13037,25059, 77426-43042, 30301-11715-75441-91042-10694-00556, 2600-9426-3762-4148, 8352-4926-0137-7010-1972-0691, 470-428-686, 40-59-18-55, 8EQ-6EQ-10EQ-11EQ-12EQ-4EQ
6/10/2022,26450,99472, 09283-07481, 63796-53170-80934-22592-80331-56633, 8859-0728-2446-9170, 6729-9347-5965-8975-1178-5625, 026-289-267, 80-66-17-78, 7ER-1ER-6ER-2ER-11ER-14ER
5/10/2022,80983,9046, 29399-08507, 72726-62831-85711-88004-51568-54046, 3784-1825-7897-5657, 0729-8051-5357-9572-5889-8522, 953-112-874, 37-64-78-79, 1ES-9ES-14ES-8ES-4ES-2ES
4/10/2022,51859,22919, 35872-32518, 46888-13051-20406-85739-07528-63266, 8526-6947-1634-6044, 1174-6209-5150-8436-2640-6544, 609-398-915, 38-37-77-39, 14ET-7ET-4ET-8ET-9ET-11ET
3/10/2022,65169,74026, 63525-28014, 47655-30419-12277-98801-28492-67966, 7946-0562-8432-6252, 4135-4435-8511-6451-6270-0406, 430-459-116, 70-41-84-77, 1EU-6EU-12EU-15EU-8EU-13EU
2/10/2022,64668,12669, 30412-40677, 43964-77103-31566-95498-58551-53578, 3780-9427-9341-1822, 8682-2452-1507-1839-2299-0283, 634-766-963, 19-51-91-62, 15EV-6EV-10EV-3EV-11EV-7EV
1/10/2022,35019,13904, 96463-34496, 63867-87793-10430-09002-77030-79134, 0901-2079-7938-4045, 6197-4436-6869-5712-5950-6313, 822-592-330, 67-18-66-01, 2EX-11EX-14EX-7EX-12EX-15EX
30/09/2022,89651,76636, 22292-54784, 40592-50165-34688-85182-55312-77191, 5102-9000-1506-9324, 0882-3728-9426-5396-8504-7262, 809-167-404, 82-26-64-71, 12EY-9EY-11EY-8EY-15EY-6EY
29/09/2022,92129,68334, 70735-51228, 30792-09411-13941-98786-31667-15756, 3837-4684-8365-2866, 7969-2248-2682-1783-9037-4282, 522-777-486, 26-03-94-76, 15EZ-7EZ-6EZ-8EZ-12EZ-1EZ
28/09/2022,41946,37992, 99881-91950, 49017-20483-16317-30969-39736-05788, 9513-1650-8588-6805, 7872-2543-5183-9311-7738-9622, 942-348-751, 23-76-66-37, 9DA-11DA-14DA-3DA-13DA-10DA
27/09/2022,77390,44227, 07899-14634, 63455-73781-29319-20235-27180-54670, 9671-9583-6464-8484, 8179-7748-8340-8528-5731-5985, 248-744-402, 20-92-88-50, 7DB-13DB-1DB-12DB-10DB-14DB
26/09/2022,93712,6763, 50213-34368, 32501-94496-09495-19650-16988-69377, 6160-0094-1043-2015, 2987-0826-6345-2156-3187-9763, 884-736-215, 62-69-61-05, 10DC-20DC-2DC-14DC-8DC-5DC-11DC-18DC
25/09/2022,59509,36837, 50137-94982, 38607-71890-94928-23815-97833-95667, 1818-5842-0140-4657, 3701-6434-4520-4327-6864-4674, 104-934-481, 89-37-57-16, 3DE-6DE-2DE-9DE-12DE-11DE
24/09/2022,8154,1140, 39583-05213, 67243-04747-99009-14386-47068-86540, 8467-7574-1579-7138, 0386-8686-5211-9162-0166-5909, 368-823-443, 08-34-78-91, 6DF-9DF-4DF-14DF-2DF-8DF
23/09/2022,79436,63302, 75772-78656, 69170-12911-94608-26376-57000-53326, 3605-3596-2870-5392, 0160-3795-0046-7968-4321-9567, 724-174-453, 01-53-48-49, 3DG-15DG-9DG-5DG-12DG-2DG
22/09/2022,76777,14235, 67639-39627, 11078-35566-60396-76531-52810-77165, 1992-5460-0527-7755, 5119-6943-5185-6519-4917-0751, 495-283-089, 37-75-66-01, 6DH-12DH-8DH-5DH-11DH-14DH
21/09/2022,44823,4642, 28539-90167, 57514-55801-03094-14585-30266-70855, 7785-6343-5951-3385, 5136-4603-1640-7743-5004-9439, 380-518-321, 05-26-16-94, 15DK-9DK-14DK-5DK-2DK-7DK
20/09/2022,50221,51429, 03694-87656, 84226-05736-37676-53627-63292-57192, 9164-3207-6899-0093, 0799-2165-7646-4794-0908-0008, 818-799-831, 71-10-04-40, 11DL-7DL-1DL-3DL-10DL-9DL
19/09/2022,62198,45485, 76774-74253, 18739-41960-51934-31194-39042-78008, 2546-5002-0826-2950, 7124-9884-5639-3108-6204-5861, 927-362-456, 95-77-72-22, 8DM-5DM-14DM-15DM-4DM-7DM
18/09/2022,14894,36603, 09941-58304, 25494-16326-17346-02170-77335-45416, 2580-6226-0074-0880, 6188-2187-0423-0407-4042-0222, 781-007-337, 05-00-23-64, 5DN-8DN-1DN-7DN-14DN-10DN
17/09/2022,55890,82995, 85254-99868, 74363-31000-98734-25095-92211-67172, 5992-5247-0426-6302, 1049-1972-3323-0748-3642-0676, 084-250-098, 65-71-29-25, 11DP-10DP-6DP-14DP-9DP-8DP
16/09/2022,48715,90716, 56928-41080, 43187-69772-54529-67275-81565-74877, 6222-2420-3750-8550, 6817-6756-4721-1214-2847-5145, 847-449-541, 90-89-86-84, 3DQ-1DQ-14DQ-11DQ-15DQ-6DQ
15/09/2022,87354,95705, 63025-08721, 37527-77157-47318-04777-03121-08569, 6606-8058-1050-3792, 3383-3124-5188-4666-1071-0378, 296-672-723, 47-04-81-95, 5DR-6DR-14DR-11DR-8DR-9DR
14/09/2022,66581,70165, 25649-75110, 24053-74602-11614-17793-38255-41413, 6240-7984-0724-3955, 7903-9567-1600-2103-4654-3565, 851-525-505, 92-08-74-99, 15DS-14DS-8DS-2DS-4DS-3DS
13/09/2022,21776,55643, 39452-83110, 59555-55905-20167-47278-21686-14131, 7684-5001-9636-8397, 9117-6829-9603-5470-7539-1013, 291-438-718, 66-68-97-85, 13DT-10DT-8DT-11DT-9DT-12DT
12/9/2022,55448,93409, 19965-60859, 99851-03123-34167-27971-32321-04504, 9860-0467-9764-1555, 0828-1089-2239-3967-4868-6380, 668-676-301, 32-82-40-75, 15DU-1DU-5DU-2DU-10DU-11DU
