DATE, DB, G1, G2, G3, G4, G5, G6, G7, KT
17/04/2023,65576,21834, 98341-78733, 68199-77368-98075-59580-47734-63176, 9274-4850-5518-3111, 7707-0739-1301-8058-5604-4191, 013-523-323, 07-12-63-92, 6QL-5QL-15QL-13QL-14QL-12QL
16/04/2023,41248,17827, 73986-79480, 41224-34610-25369-86403-80143-57669, 1141-3622-2677-0520, 1337-5356-2412-7235-8435-2100, 803-944-321, 26-28-70-72, 10QM-3QM-8QM-4QM-1QM-15QM
15/04/2023,27414,11010, 41330-97277, 74505-02583-25729-18319-80920-81572, 1080-8991-4942-4123, 9035-2575-9988-6255-7699-0135, 777-921-304, 11-53-81-27, 5QN-10QN-2QN-13QN-3QN-6QN
14/04/2023,57534,88770, 05720-91578, 03717-48451-94184-89449-05832-56081, 4943-4300-4803-7938, 2632-1938-4351-0270-7609-7302, 029-457-562, 88-23-60-79, 9QP-2QP-7QP-14QP-5QP-13QP
13/04/2023,44265,59509, 68989-53011, 99466-91198-56803-55404-06860-51761, 5199-2649-9460-1408, 5496-4857-9907-3867-9046-6692, 919-860-899, 63-35-38-12, 11QR-9QR-7QR-10QR-1QR-14QR
12/4/2023,37195,88982, 91410-39454, 68319-52423-13233-68277-21169-30216, 0142-3462-5629-2596, 5756-9121-6244-8253-6810-3857, 309-404-166, 97-54-39-28, 15QS-6QS-8QS-1QS-5QS-7QS
11/4/2023,16039,40045, 88796-43516, 95785-28723-74468-18671-71440-99436, 8150-0958-7169-4771, 1017-5415-7626-9898-1360-9496, 489-632-860, 22-64-26-84, 13QT-12QT-10QT-5QT-15QT-14QT
10/4/2023,6363,75304, 29505-25800, 33432-51472-46580-24161-76595-98352, 7743-7403-1859-9221, 3187-2855-8646-8584-0256-8458, 352-139-219, 13-54-34-96, 7QU-2QU-12QU-10QU-1QU-11QU
9/4/2023,10026,76693, 66574-62714, 54568-53998-95807-03990-50571-84713, 1316-0902-7909-3442, 3716-6641-4419-8431-3158-0433, 469-923-443, 02-73-58-12, 6QV-8QV-9QV-4QV-13QV-1QV
8/4/2023,29815,36073, 85333-58920, 97433-78280-03170-06858-88255-88818, 2712-0016-1596-5386, 0744-4503-9287-3859-3643-8366, 075-849-001, 12-54-73-22, 14QX-13QX-10QX-6QX-4QX-5QX
7/4/2023,49736,58224, 65556-14147, 58150-72738-43810-30812-33149-13629, 8908-1830-7439-0764, 6547-1958-9971-7786-2569-4304, 463-465-406, 00-44-72-22, 7QY-10QY-2QY-15QY-3QY-8QY
6/4/2023,89911,5742, 50512-78149, 88171-00910-17405-26389-88291-99363, 7605-2631-8658-7044, 8351-4521-5193-7433-2793-6406, 436-412-634, 60-25-68-65, 8QZ-13QZ-2QZ-11QZ-5QZ-6QZ
5/4/2023,96226,95972, 01247-51881, 41676-08715-40559-11220-01149-96249, 4359-4886-1952-1114, 6014-5500-7559-6213-7458-8014, 379-127-366, 85-26-25-55, 17PA-5PA-16PA-13PA-7PA-11PA-8PA-14PA
4/4/2023,75345,58033, 53624-14990, 65024-54180-48496-98824-68882-50488, 1050-3793-9904-2976, 6534-1659-3601-3421-3084-1283, 615-045-950, 44-38-59-88, 1PB-15PB-11PB-3PB-7PB-6PB
3/4/2023,52333,60129, 20276-16945, 79852-81184-82950-55742-41809-54881, 7123-3025-2171-9384, 5032-6746-5678-8084-0969-7357, 116-932-199, 65-89-71-53, 11PC-3PC-10PC-5PC-1PC-15PC
2/4/2023,1844,86587, 43090-21057, 57039-85367-50887-42799-15519-33621, 2573-5217-1536-8939, 2106-7124-5477-8497-6140-1356, 057-954-095, 96-07-70-77, 14PD-15PD-4PD-6PD-13PD-10PD
1/4/2023,70344,29158, 24102-22255, 23385-08995-78861-88142-93756-42929, 0962-4828-0948-7865, 5076-2309-1465-4650-5070-1375, 549-093-772, 09-18-34-91, 9PE-11PE-14PE-2PE-10PE-12PE
31/03/2023,59381,50062, 41803-74247, 29789-25048-78541-21351-15625-53386, 8847-1248-2881-7647, 3187-0628-3153-7468-8667-7883, 834-295-592, 42-08-22-16, 4PF-1PF-8PF-12PF-5PF-6PF
30/03/2023,11504,13132, 43820-11937, 91023-02686-33623-25816-44645-58918, 9812-8664-1685-4375, 6194-6939-9829-3640-4213-8870, 374-236-642, 17-95-41-89, 11PG-14PG-4PG-2PG-9PG-6PG
29/03/2023,86367,69313, 57644-99117, 57068-01410-71666-59756-37373-20474, 6395-5291-5632-3556, 2533-5880-4616-8998-7741-1916, 961-316-203, 60-85-39-71, 13PH-3PH-5PH-15PH-6PH-9PH
28/03/2023,66228,20468, 52302-81938, 80052-98632-60778-43904-23666-29291, 9299-7599-3882-4937, 8481-5974-4117-4744-3181-7043, 520-126-567, 30-22-92-01, 6PK-4PK-1PK-13PK-10PK-8PK
27/03/2023,83230,27431, 64284-25717, 00542-39074-03807-48505-81972-52585, 3688-5158-4819-5996, 1953-7838-0600-4430-1433-9408, 989-736-316, 91-85-30-55, 3PL-15PL-9PL-2PL-7PL-11PL
26/03/2023,57765,81664, 81817-24222, 29370-84409-04923-57889-07071-93934, 4102-2973-6263-6666, 8566-3378-2688-1310-3160-6446, 895-560-344, 30-52-63-13, 2PM-7PM-11PM-3PM-4PM-6PM
25/03/2023,32273,26774, 47449-00099, 42018-44879-34758-02573-53468-78759, 1143-4584-9372-9795, 3750-9885-2890-9364-0917-2156, 114-430-214, 74-22-98-97, 11PN-8PN-13PN-15PN-1PN-12PN
24/03/2023,48657,92279, 26169-82385, 98841-13954-79256-94604-99283-70785, 1952-2895-1644-0040, 0056-2149-4349-9152-6702-9706, 946-859-135, 72-04-96-01, 6PQ-14PQ-3PQ-11PQ-15PQ-2PQ
23/03/2023,45483,75836, 51256-95469, 48390-14974-09605-98957-76070-37554, 0178-8464-7318-4497, 4361-8794-1660-2984-2372-1407, 191-984-646, 46-34-28-91, 6PR-9PR-3PR-12PR-15PR-10PR
22/03/2023,8798,75337, 28963-26229, 39544-19950-42567-81097-15774-11622, 1142-2860-5468-4869, 8457-1226-2904-5946-4619-0294, 613-479-357, 16-56-29-44, 6PS-10PS-2PS-9PS-8PS-3PS-11PS-19PS
21/03/2023,81664,40033, 18931-74834, 84351-11200-19833-22886-94162-32936, 2426-4054-2848-1715, 7368-9863-8037-9985-1320-5112, 657-518-832, 61-09-39-59, 5PT-14PT-8PT-2PT-9PT-12PT
20/03/2023,24192,24877, 69360-66583, 07529-77038-85099-32290-94963-23842, 6979-7304-7041-4748, 6909-5405-4710-9722-2752-1632, 617-012-182, 29-54-10-42, 3PU-2PU-1PU-4PU-14PU-8PU
19/03/2023,86903,51904, 86833-22870, 85621-16256-18746-84156-68556-38891, 3826-9033-6756-8348, 9234-5163-4061-7108-1862-5943, 562-892-334, 04-72-23-96, 8PV-6PV-1PV-2PV-15PV-14PV
18/03/2023,57570,25444, 05260-51308, 14099-69326-17323-52596-06495-47274, 1522-2679-3931-2502, 2734-6503-6147-0437-5088-0227, 897-979-581, 44-97-13-93, 14PX-6PX-10PX-3PX-9PX-11PX
17/03/2023,59389,46086, 47967-93279, 62875-61643-80808-17950-83001-55132, 7669-4211-2318-6993, 7346-4111-6778-2763-2406-4847, 006-958-919, 09-05-65-60, 14PY-12PY-9PY-4PY-6PY-10PY
16/03/2023,89581,62172, 16250-32921, 86507-63642-18592-40723-78206-13297, 4218-9856-9922-8734, 4172-2783-9801-0431-9420-0537, 945-195-212, 92-44-89-04, 5PZ-15PZ-10PZ-7PZ-13PZ-14PZ
15/03/2023,67724,9458, 42912-82249, 32675-58785-80854-22192-66944-59826, 3763-1746-8274-9210, 9558-7603-8738-9949-1521-8486, 600-528-250, 35-83-26-41, 9NA-8NA-11NA-14NA-4NA-5NA
14/03/2023,67879,7811, 56885-61063, 64605-02010-94533-29538-20174-81544, 7935-8490-0920-4677, 6660-0349-9239-4622-5526-4141, 561-858-133, 76-78-40-09, 15NB-10NB-2NB-12NB-1NB-3NB
